date,sleep_hours,calories_kcal,protein_g,carbs_g,bodyweight_kg,resting_hr_bpm
2025-07-12,7.0,2873.0,212.1,354.0,79.0,59.3
2025-07-13,1.42,2811.0,211.4,291.9,80.3,63.8
2025-07-14,8.21,2471.0,172.5,250.9,76.2,55.2
2025-07-15,8.34,2881.0,13.7,306.3,,55.3
2025-07-16,7.64,2620.0,168.9,326.9,76.6,59.6
2025-07-17,8.21,2711.0,186.3,331.8,80.0,56.7
2025-07-18,8.08,2669.0,209.2,12.9,74.6,
2025-07-19,8.09,2310.0,153.4,269.4,79.9,54.6
2025-07-21,7.66,163.0,50.0,80.0,78.5,
2025-07-22,8.21,3092.0,216.4,322.7,78.7,56.4
2025-07-23,7.94,388.0,9.0,80.0,,58.8
2025-07-24,8.32,2704.0,188.3,272.3,78.8,58.0
2025-07-25,8.54,219.0,50.0,80.0,77.9,57.6
2025-07-26,1.99,2628.0,170.8,298.5,77.8,66.0
2025-07-27,7.81,2670.0,188.7,296.8,,61.6
2025-07-28,7.95,2646.0,193.9,264.2,77.7,55.4
2025-07-29,8.74,2305.0,172.2,271.4,,54.8
2025-07-30,7.53,2846.0,178.8,254.8,77.0,
2025-07-31,7.83,2518.0,190.0,255.3,,59.1
2025-08-01,1.32,2912.0,194.1,342.9,80.2,65.6
2025-08-02,7.0,2648.0,17.9,271.5,75.6,
2025-08-03,7.4,2848.0,210.2,295.6,77.2,57.3
2025-08-04,8.28,2570.0,205.6,288.4,78.7,58.5
2025-08-05,8.06,2612.0,174.1,293.1,76.4,
2025-08-06,6.67,2515.0,156.8,242.7,79.9,58.7
2025-08-07,6.8,2768.0,194.0,288.2,77.6,55.9
2025-08-09,8.09,2468.0,160.1,19.6,77.4,
2025-08-10,7.29,2647.0,170.5,273.0,78.5,59.3
2025-08-11,6.25,2974.0,12.2,333.8,78.2,60.6
2025-08-12,6.18,2249.0,170.6,238.7,75.8,58.4
2025-08-13,7.87,3291.0,244.4,382.0,79.1,53.6
2025-08-16,7.56,2948.0,210.9,315.8,77.9,56.7
2025-08-19,8.35,2570.0,165.4,266.3,77.0,58.5
2025-08-20,7.93,2800.0,212.6,303.6,80.0,59.8
2025-08-21,7.46,2666.0,174.7,279.0,77.9,56.6
2025-08-22,7.45,2306.0,143.4,240.8,77.3,59.1
2025-08-24,7.39,752.0,70.7,103.1,77.1,58.0
2025-08-25,7.84,2613.0,160.0,259.8,,
2025-08-26,7.7,2839.0,197.6,332.1,77.0,55.5
2025-08-29,7.88,2382.0,162.4,266.6,78.4,54.9
2025-08-31,7.65,2580.0,181.4,269.6,,55.0
2025-09-01,6.86,163.0,50.0,80.0,78.0,
2025-09-02,6.76,2573.0,200.4,267.5,76.8,56.1
2025-09-05,6.8,2831.0,187.8,316.3,,58.1
2025-09-07,7.31,2607.0,189.9,259.8,,
2025-09-08,6.3,2487.0,163.8,258.7,77.3,59.4
2025-09-09,6.77,3090.0,205.8,359.0,79.3,59.9
2025-09-12,7.58,2892.0,209.3,318.3,,57.3
2025-09-13,7.11,2544.0,183.7,288.5,78.5,56.3
2025-09-14,7.47,2067.0,135.8,209.2,75.4,59.8
2025-09-15,8.56,2406.0,161.4,256.7,78.7,55.4
2025-09-16,6.7,2776.0,198.0,335.7,77.3,60.4
2025-09-18,6.21,3039.0,210.4,332.3,78.9,59.4
2025-09-19,8.26,310.0,50.0,80.0,76.6,58.4
2025-09-20,8.71,11.0,50.0,80.0,78.6,
2025-09-21,7.52,2613.0,202.8,260.5,78.6,53.2
2025-09-23,7.95,2527.0,163.0,264.6,78.2,54.1
2025-09-24,7.34,2442.0,198.3,295.8,78.6,62.9
2025-09-25,7.58,393.0,50.0,80.0,77.5,55.3
2025-09-27,7.64,2561.0,171.9,268.2,,58.4
2025-09-28,7.12,2335.0,161.1,211.9,78.0,57.6
2025-09-29,7.59,2601.0,172.4,276.6,76.5,60.4
2025-09-30,6.83,2574.0,189.3,286.4,,57.8
2025-10-01,7.28,2197.0,155.5,268.1,76.6,58.2
2025-10-03,6.68,2628.0,166.9,308.7,78.0,62.2
2025-10-04,6.93,2635.0,177.7,306.9,79.1,58.1
2025-10-05,6.65,2376.0,188.3,234.3,79.0,58.2
2025-10-07,6.78,2560.0,186.2,256.9,76.4,62.1
2025-10-08,6.17,2620.0,175.8,278.4,77.6,62.6
2025-10-09,5.8,2512.0,181.4,0.9,,62.2
2025-10-12,6.81,2306.0,167.1,211.1,77.1,63.9
2025-10-13,7.66,2202.0,187.7,179.3,77.6,56.0
2025-10-14,8.73,2415.0,175.7,245.9,,58.8
2025-10-16,7.45,2318.0,175.6,263.7,77.7,58.7
2025-10-18,7.71,2448.0,155.4,292.9,78.8,57.0
2025-10-20,6.9,2568.0,186.3,260.8,78.8,57.2
2025-10-22,6.89,2790.0,196.2,276.6,,59.5
2025-10-23,7.73,3012.0,183.1,274.8,,59.2
2025-10-24,6.75,2542.0,164.0,256.9,,61.0
2025-10-25,7.47,2410.0,160.4,273.3,77.7,58.2
2025-10-28,7.39,2650.0,191.0,320.4,76.9,
2025-10-29,0.8,2828.0,193.0,293.6,78.9,64.3
2025-10-30,7.85,2168.0,135.8,190.7,73.6,
2025-11-05,7.13,673.0,58.4,80.0,80.1,55.5
2025-11-07,7.7,2297.0,171.6,241.7,,
2025-11-08,6.9,3081.0,218.7,333.6,76.7,53.8
2025-11-09,7.67,2433.0,152.8,249.1,,
2025-11-11,7.64,2303.0,157.5,245.0,74.3,53.0
2025-11-12,0.71,2533.0,167.4,255.9,77.0,65.0
2025-11-13,8.01,2712.0,4.4,258.5,80.6,59.6
2025-11-14,7.48,2727.0,165.9,302.3,76.9,58.2
2025-11-15,7.51,3048.0,202.8,296.4,78.9,
2025-11-16,8.5,2778.0,190.7,316.7,79.2,
2025-11-17,7.94,2266.0,165.8,226.5,78.9,58.5
2025-11-18,6.71,2525.0,165.4,283.6,,56.2
2025-11-19,7.09,2577.0,200.7,272.2,78.1,61.6
2025-11-20,7.21,2479.0,173.3,260.1,76.5,
2025-11-21,7.38,2477.0,139.5,234.7,77.1,59.2
2025-11-22,7.4,2397.0,180.9,280.5,77.1,
2025-11-23,8.06,2679.0,168.9,292.2,76.5,57.3
2025-11-24,7.14,2911.0,200.7,325.8,79.4,60.4
2025-11-25,6.91,2932.0,228.2,6.2,79.3,54.0
2025-11-28,6.55,2544.0,186.9,264.0,76.3,56.8
2025-12-01,6.5,2898.0,19.5,313.6,,58.1
2025-12-03,7.48,2541.0,177.1,300.5,80.3,52.4
2025-12-04,7.79,2433.0,179.9,249.1,79.1,
2025-12-06,6.8,2357.0,146.8,251.5,76.4,56.3
2025-12-07,7.38,2409.0,158.1,250.7,,56.8
2025-12-08,6.29,2852.0,171.4,309.7,,59.8
2025-12-09,8.94,2562.0,185.9,28.4,,52.0
2025-12-11,7.66,2185.0,160.0,284.0,78.6,56.4
2025-12-12,8.07,2368.0,141.9,223.8,77.6,
2025-12-13,6.86,2653.0,201.5,229.0,77.6,
2025-12-14,7.77,2639.0,182.6,312.3,,55.2
2025-12-15,7.36,473.0,50.0,80.0,,
2025-12-16,7.89,2372.0,151.1,282.4,77.8,56.1
2025-12-17,7.1,2648.0,184.9,284.4,76.8,55.2
2025-12-18,7.29,2621.0,191.0,266.1,78.8,57.9
2025-12-19,8.2,2665.0,191.4,263.9,79.2,59.1
2025-12-20,7.56,2869.0,206.1,300.4,77.6,58.3
2025-12-23,7.61,32.0,50.0,80.0,77.7,58.3
2025-12-24,7.3,2471.0,163.3,205.7,78.4,59.9
2025-12-26,6.97,2423.0,189.2,238.0,77.5,
2025-12-29,6.37,2623.0,153.7,274.4,76.2,57.9
2025-12-31,7.81,2371.0,16.5,235.2,74.8,62.2
2026-01-01,7.33,2911.0,193.7,311.7,78.2,
2026-01-02,1.59,2656.0,187.0,310.0,76.1,64.4
2026-01-06,7.1,3317.0,252.0,357.3,80.2,57.7
2026-01-07,6.65,369.0,50.0,80.0,79.0,56.2
2026-01-08,7.87,2183.0,165.3,241.3,77.9,55.0
2026-01-09,6.75,2851.0,206.8,329.2,76.2,59.8
2026-01-11,2.18,2561.0,184.3,313.0,,69.9
2026-01-12,7.3,2421.0,148.8,253.8,79.4,58.4
2026-01-13,1.08,2741.0,199.4,319.7,78.0,66.4
2026-01-15,8.14,2283.0,153.8,229.6,,58.7
2026-01-16,7.02,2463.0,153.0,252.4,78.8,56.1
2026-01-17,7.73,632.0,52.4,80.0,76.6,59.9
2026-01-18,7.8,2636.0,168.1,264.8,78.3,
2026-01-19,6.61,2418.0,158.4,249.2,75.5,60.8
2026-01-20,6.88,2354.0,156.9,228.6,,60.1
2026-01-21,6.55,2661.0,146.2,313.5,,58.4
2026-01-22,6.79,2294.0,163.8,268.9,,61.0
2026-01-24,6.88,24.0,50.0,80.0,76.3,
2026-01-25,7.42,2188.0,166.3,278.3,79.3,60.2
2026-01-30,6.49,2612.0,189.0,290.8,78.0,60.3
2026-01-31,7.37,2713.0,154.9,5.3,75.9,58.6
2026-02-04,7.88,2935.0,179.1,319.4,,53.7
2026-02-10,6.89,2553.0,192.9,246.0,79.6,60.6
2026-02-11,6.1,2824.0,178.5,328.1,,58.8
2026-02-12,6.97,2903.0,214.2,324.5,77.5,58.7
2026-02-13,6.57,2595.0,162.2,307.7,78.5,55.3
2026-02-16,8.17,2631.0,173.8,294.0,77.8,55.0
2026-02-18,8.03,2749.0,180.1,280.9,76.4,
2026-02-21,6.94,2800.0,217.4,281.1,78.2,57.8
2026-02-22,7.96,3203.0,211.8,320.8,79.1,53.9
2026-02-23,7.91,2290.0,160.5,227.2,79.8,
2026-02-24,7.05,2615.0,186.7,321.1,,62.6
2026-02-26,7.55,2200.0,168.2,246.9,78.1,57.4
2026-02-27,7.75,2174.0,133.4,238.3,80.3,
2026-02-28,7.26,2612.0,163.8,260.5,,60.9
2026-03-01,7.29,2247.0,171.4,258.3,76.6,54.1
2026-03-03,7.06,2734.0,181.1,280.4,77.4,
2026-03-05,7.13,199.0,50.0,80.0,78.8,60.3
2026-03-07,7.68,2420.0,146.1,273.3,,58.0
2026-03-09,7.19,2779.0,182.9,309.5,77.9,60.4
2026-03-10,7.4,2758.0,206.7,294.7,77.8,60.7
2026-03-11,7.97,2402.0,168.3,248.0,,57.2
2026-03-13,6.31,2583.0,189.9,293.2,79.5,
2026-03-14,7.22,2958.0,205.3,334.5,79.2,59.0
2026-03-16,7.44,2751.0,194.8,328.0,,58.9
2026-03-17,7.99,2848.0,197.6,285.0,77.2,56.6
2026-03-18,7.05,2473.0,160.9,266.5,77.7,60.5
2026-03-19,6.56,2827.0,185.0,287.2,79.0,57.9
2026-03-20,8.4,2615.0,163.8,275.0,78.9,56.3
2026-03-22,6.74,2399.0,206.6,255.9,,61.3
2026-03-23,7.35,2433.0,167.1,269.5,75.7,59.1
2026-03-24,6.74,505.0,61.5,8.1,77.2,61.3
2026-03-26,7.78,2833.0,170.0,268.6,79.7,59.7
2026-03-27,7.45,2284.0,142.9,251.5,79.4,61.3
2026-03-30,0.64,2613.0,18.1,289.5,,
2026-03-31,7.58,2585.0,162.5,266.0,76.2,
2026-04-01,2.08,2744.0,175.0,300.5,,58.7
2026-04-02,7.79,2622.0,162.8,268.7,77.6,53.4
2026-04-03,8.25,2338.0,153.4,269.3,78.6,58.1
2026-04-04,8.56,2477.0,173.8,246.4,79.6,53.7
2026-04-05,7.75,2372.0,165.0,250.7,,55.3
2026-04-07,6.72,2169.0,19.4,177.6,81.4,60.0
2026-04-08,2.77,2438.0,183.8,291.9,77.8,
2026-04-09,7.42,2560.0,196.5,289.4,77.6,55.0
2026-04-10,7.14,2798.0,186.2,13.9,77.8,
2026-04-11,7.62,2603.0,9.0,295.6,,59.9
2026-04-12,7.65,2402.0,165.8,255.9,,55.5
2026-04-13,7.25,2072.0,131.1,196.0,77.5,
2026-04-15,8.49,3203.0,229.6,336.9,75.2,52.2
2026-04-16,7.64,2296.0,137.2,230.5,77.1,62.6
2026-04-17,8.1,3019.0,197.6,325.0,80.5,55.1
2026-04-19,7.06,372.0,50.0,2.6,,55.0
2026-04-20,9.22,2910.0,221.2,297.9,76.9,55.9
2026-04-21,7.89,2875.0,182.1,293.9,81.0,53.8
2026-04-24,0.54,2869.0,226.2,283.5,78.0,63.9
2026-04-25,8.54,2466.0,184.0,257.5,79.0,56.3
2026-04-26,7.5,2457.0,172.8,306.7,75.5,
2026-04-27,7.27,2656.0,186.8,233.2,78.3,
2026-04-29,7.55,2782.0,187.9,278.1,78.6,58.6
2026-04-30,7.98,2519.0,203.8,253.4,,57.4
2026-05-01,8.63,2652.0,179.0,270.0,79.3,60.6
2026-05-04,8.54,2597.0,209.8,291.2,79.9,
2026-05-05,7.29,2013.0,168.1,238.9,78.3,56.8
2026-05-06,7.55,180.0,50.0,80.0,,55.5
2026-05-07,7.94,2463.0,180.5,246.8,75.5,55.5
2026-05-08,7.84,2666.0,185.8,290.9,76.5,53.5
2026-05-10,7.61,2831.0,211.1,294.5,76.2,51.7
2026-05-12,7.86,2638.0,181.8,240.4,77.3,
2026-05-15,3.08,2176.0,168.5,8.3,77.6,65.1
2026-05-17,6.61,2556.0,187.6,263.0,79.4,
2026-05-18,6.94,2378.0,172.1,248.0,77.0,57.3
2026-05-19,7.39,2492.0,172.3,267.5,,62.1
2026-05-20,6.84,2331.0,185.3,249.9,76.4,
2026-05-21,1.67,2249.0,171.4,245.0,80.5,
2026-05-22,6.56,2727.0,191.0,304.5,77.6,59.7
2026-05-23,7.51,2524.0,12.7,273.9,78.8,
2026-05-24,7.28,2555.0,166.9,257.4,78.2,
2026-05-25,8.0,2959.0,2.7,18.7,76.4,57.3
2026-05-26,7.51,735.0,50.0,100.5,77.7,57.4
2026-05-29,6.9,2622.0,164.3,288.3,77.0,
2026-05-30,7.85,2438.0,178.2,251.0,77.7,
2026-05-31,7.36,397.0,50.0,80.0,78.7,
2026-06-01,8.06,2338.0,143.9,8.9,78.4,59.3
2026-06-02,8.0,2711.0,200.6,293.0,79.7,
2026-06-03,7.03,2848.0,200.5,344.3,76.1,60.9
2026-06-04,8.07,2474.0,205.7,266.9,76.8,58.8
2026-06-05,7.57,181.0,50.0,80.0,78.7,56.7
2026-06-06,6.48,2780.0,210.9,314.8,77.5,60.4
2026-06-07,1.15,95.0,50.0,10.9,78.1,
2026-06-08,6.82,2277.0,181.4,246.3,80.3,59.0
2026-06-09,6.88,2371.0,173.6,5.9,,61.0
2026-06-10,6.8,3033.0,199.8,286.9,79.6,59.9
2026-06-11,7.03,2283.0,167.7,252.5,78.1,55.4
2026-06-13,7.55,2916.0,228.8,354.9,77.6,57.1
2026-06-14,7.77,2514.0,190.5,251.8,80.1,58.3
2026-06-15,7.69,2584.0,176.8,19.4,,56.5
2026-06-16,8.19,2787.0,193.3,310.1,,59.4
2026-06-17,7.35,2657.0,193.5,317.1,79.9,56.4
2026-06-18,7.83,2311.0,159.5,247.3,,55.2
2026-06-19,7.85,2732.0,197.0,314.0,80.2,58.3
2026-06-22,8.46,2662.0,182.1,308.3,77.6,
